f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,label
1.11409,1.0146071,0.91998667,0.8768727,0.8705335,0.8734071,0.8290208,0.79891336,0.7830371,0.7781092,-0.004927885,-0.0104020815,-0.016970528,1.0,2
1.0146071,0.91998667,0.8768727,0.8705335,0.8734071,0.8290208,0.79891336,0.7830371,0.7781092,0.76107866,-0.017030576,-0.0109792305,-0.01261158,1.0,2
0.91998667,0.8768727,0.8705335,0.8734071,0.8290208,0.79891336,0.7830371,0.7781092,0.76107866,0.7481258,-0.012952858,-0.0149917165,-0.011637107,1.0,2
0.8768727,0.8705335,0.8734071,0.8290208,0.79891336,0.7830371,0.7781092,0.76107866,0.7481258,0.73833424,-0.009791524,-0.011372191,-0.013258319,1.0,2
0.8705335,0.8734071,0.8290208,0.79891336,0.7830371,0.7781092,0.76107866,0.7481258,0.73833424,0.7360941,-0.002240162,-0.0060158432,-0.008328182,1.0,2
0.8734071,0.8290208,0.79891336,0.7830371,0.7781092,0.76107866,0.7481258,0.73833424,0.7360941,0.72848684,-0.007607242,-0.004923702,-0.0065463097,1.0,2
0.8290208,0.79891336,0.7830371,0.7781092,0.76107866,0.7481258,0.73833424,0.7360941,0.72848684,0.7225122,-0.0059746825,-0.0067909625,-0.005274029,1.0,2
0.79891336,0.7830371,0.7781092,0.76107866,0.7481258,0.73833424,0.7360941,0.72848684,0.7225122,0.7219322,-0.00058002095,-0.0032773518,-0.0047206488,1.0,2
0.7830371,0.7781092,0.76107866,0.7481258,0.73833424,0.7360941,0.72848684,0.7225122,0.7219322,0.7237309,0.001798796,0.0006093875,-0.0015853025,1.0,2
0.7781092,0.76107866,0.7481258,0.73833424,0.7360941,0.72848684,0.7225122,0.7219322,0.7237309,0.74098164,0.0172507,0.009524748,0.0061564916,1.0,2
0.76107866,0.7481258,0.73833424,0.7360941,0.72848684,0.7225122,0.7219322,0.7237309,0.74098164,0.42902106,-0.31196058,-0.14735495,-0.097637035,1.0,2
0.7481258,0.73833424,0.7360941,0.72848684,0.7225122,0.7219322,0.7237309,0.74098164,0.42902106,0.09524479,-0.33377627,-0.32286844,-0.20949538,1.0,2
